Time (ms),VDD_ARM voltage (V),VDD_ARM current (mA),VDD_ARM power (mW),NVCC_DRAM_1V1 voltage (V),NVCC_DRAM_1V1 current (mA),NVCC_DRAM_1V1 power (mW),VSYS_5V voltage (V),VSYS_5V current (mA),VSYS_5V power (mW),VDD_SOC voltage (V),VDD_SOC current (mA),VDD_SOC power (mW),LPD4_VDDQ voltage (V),LPD4_VDDQ current (mA),LPD4_VDDQ power (mW),LPD4_VDD2 voltage (V),LPD4_VDD2 current (mA),LPD4_VDD2 power (mW),NVCC_SD2 voltage (V),NVCC_SD2 current (mA),NVCC_SD2 power (mW),VDD_LVDS_1V8 voltage (V),VDD_LVDS_1V8 current (mA),VDD_LVDS_1V8 power (mW),VDD_HDMI_1V8 voltage (V),VDD_HDMI_1V8 current (mA),VDD_HDMI_1V8 power (mW),NVCC_SNVS_1V8 voltage (V),NVCC_SNVS_1V8 current (mA),NVCC_SNVS_1V8 power (mW),VDD_EARC_1V8 voltage (V),VDD_EARC_1V8 current (mA),VDD_EARC_1V8 power (mW),VDD_USB_1V8 voltage (V),VDD_USB_1V8 current (mA),VDD_USB_1V8 power (mW),VDD_PCI_1V8 voltage (V),VDD_PCI_1V8 current (mA),VDD_PCI_1V8 power (mW),VDD_MIPI_1V8 voltage (V),VDD_MIPI_1V8 current (mA),VDD_MIPI_1V8 power (mW),VDD_PLL_ANA_1V8 voltage (V),VDD_PLL_ANA_1V8 current (mA),VDD_PLL_ANA_1V8 power (mW),NVCC_SD1 voltage (V),NVCC_SD1 current (mA),NVCC_SD1 power (mW),LPD4_VDD1 voltage (V),LPD4_VDD1 current (mA),LPD4_VDD1 power (mW),CPU_VDD_1V8 voltage (V),CPU_VDD_1V8 current (mA),CPU_VDD_1V8 power (mW),BB_VDD_1V8 voltage (V),BB_VDD_1V8 current (mA),BB_VDD_1V8 power (mW),VDD_PLL_ANA_0V8 voltage (V),VDD_PLL_ANA_0V8 current (mA),VDD_PLL_ANA_0V8 power (mW),VDD_PCI_0V8 voltage (V),VDD_PCI_0V8 current (mA),VDD_PCI_0V8 power (mW),VDD_MIPI_0V8 voltage (V),VDD_MIPI_0V8 current (mA),VDD_MIPI_0V8 power (mW),VDD_HDMI_0V8 voltage (V),VDD_HDMI_0V8 current (mA),VDD_HDMI_0V8 power (mW),VDD_USB_3V3 voltage (V),VDD_USB_3V3 current (mA),VDD_USB_3V3 power (mW),VDD_USB_0V8 voltage (V),VDD_USB_0V8 current (mA),VDD_USB_0V8 power (mW),VDD_SD1_3V3 voltage (V),VDD_SD1_3V3 current (mA),VDD_SD1_3V3 power (mW),BB_VDD_3V3 voltage (V),BB_VDD_3V3 current (mA),BB_VDD_3V3 power (mW)
0.7988,0.9497,24.8750,23.6250,1.1016,64.5000,71.0625,5.2109,469.2500,2446.0000,0.9370,867.0000,812.5000,1.1006,-6.0430,-6.6523,1.1006,-8.8516,-9.7422,1.7852,0.0854,0.1526,1.8008,0.0702,0.1263,1.7998,0.0107,0.0192,1.7988,0.2325,0.4182,1.7979,0.0107,0.0192,1.7969,0.3325,0.5977,1.7969,-0.0244,-0.0439,1.7949,0.0702,0.1260,1.7998,3.5566,6.4023,1.7998,-0.3357,-0.6040,1.7988,0.8354,1.5029,1.7988,0.2747,0.4941,1.7969,42.5938,76.5625,0.9512,3.3027,3.1406,0.9502,8.9688,8.5234,0.9502,0.8179,0.7773,0.9473,1.2266,1.1621,3.3086,3.9395,13.0312,0.9526,2.5020,2.3828,3.3086,3.0645,10.1406,3.3125,285.5000,945.5000
0.8813,0.9502,109.3750,103.9375,1.0986,61.3438,67.3750,5.2109,444.7500,2318.0000,0.9473,866.0000,820.5000,1.1045,-1.2812,-1.4150,1.1035,-0.9155,-1.0107,1.7949,0.0549,0.0986,1.8008,0.0092,0.0165,1.7998,-0.0031,-0.0055,1.8008,0.2710,0.4880,1.7988,0.0000,0.0000,1.7939,0.3357,0.6021,1.8008,0.0061,0.0110,1.7959,0.0870,0.1562,1.7998,3.4844,6.2695,1.7998,-0.3967,-0.7139,1.7998,1.3145,2.3652,1.7998,0.6104,1.0986,1.7998,13.3047,23.9531,0.9458,3.3145,3.1348,0.9443,8.7266,8.2422,0.9473,0.8330,0.7891,0.9473,1.4492,1.3730,3.2969,3.6133,11.9141,0.9453,2.0371,1.9258,3.3008,3.1621,10.4375,3.3008,302.0000,997.0000
0.9478,0.9395,91.5625,86.0000,1.0938,62.1875,68.0000,5.2070,452.2500,2354.0000,0.9409,862.0000,811.0000,1.0986,-8.4844,-9.3203,1.0996,3.1133,3.4238,1.7861,0.0610,0.1090,1.7939,-0.0519,-0.0931,1.7998,-0.0031,-0.0055,1.7949,0.2500,0.4487,1.7959,-0.0015,-0.0027,1.7969,0.3389,0.6089,1.7979,0.0031,0.0055,1.7949,0.0946,0.1698,1.7969,3.5625,6.4023,1.8018,-4.4570,-8.0312,1.7959,0.9277,1.6660,1.7988,0.7627,1.3721,1.8008,12.4531,22.4219,0.9497,3.4609,3.2871,0.9468,8.5547,8.1016,0.9487,0.4333,0.4111,0.9497,1.4248,1.3535,3.3008,3.7051,12.2266,0.9473,2.9141,2.7598,3.3066,-0.3174,-1.0498,3.3008,264.7500,874.0000
1.0254,0.9512,97.5000,92.7500,1.1025,60.5938,66.8125,5.2070,470.5000,2450.0000,0.9438,840.0000,793.0000,1.1084,-4.2734,-4.7383,1.1016,-7.9336,-8.7422,1.7949,0.1099,0.1971,1.8037,-0.0183,-0.0330,1.8008,-0.0061,-0.0110,1.8008,0.2283,0.4111,1.8018,-0.0046,-0.0082,1.7959,0.3357,0.6030,1.7979,-0.0244,-0.0439,1.7930,0.1022,0.1833,1.7949,3.5156,6.3086,1.7998,-0.2136,-0.3845,1.8008,1.8877,3.3984,1.7988,-0.1526,-0.2744,1.7979,13.7344,24.6875,0.9473,3.4219,3.2422,0.9463,8.9453,8.4688,0.9458,0.5249,0.4963,0.9458,1.0283,0.9727,3.3086,4.4883,14.8516,0.9468,1.8691,1.7695,3.3066,1.8672,6.1758,3.3047,283.7500,937.5000
1.3330,0.9517,175.6250,167.1250,1.1025,61.4062,67.6875,5.2148,467.7500,2440.0000,0.9448,852.0000,805.0000,1.0957,-7.1406,-7.8242,1.0986,-1.0986,-1.2070,1.7861,0.0580,0.1036,1.8027,-0.0946,-0.1705,1.8047,0.0031,0.0055,1.8027,0.2583,0.4656,1.8076,0.0061,0.0110,1.7988,0.3267,0.5874,1.7998,0.0061,0.0110,1.7959,0.0900,0.1616,1.7910,3.4219,6.1289,1.7998,-0.2747,-0.4944,1.8037,1.7578,3.1699,1.8037,0.0916,0.1652,1.7979,12.6328,22.7188,0.9517,3.4395,3.2734,0.9463,8.9531,8.4688,0.9473,0.4333,0.4104,0.9517,1.1992,1.1416,3.2949,3.8691,12.7500,0.9468,2.5781,2.4414,3.3008,0.2197,0.7251,3.2988,293.0000,966.5000
1.5479,0.9536,114.8750,109.5625,1.0996,68.0625,74.8125,5.2148,488.5000,2548.0000,0.9434,857.0000,808.5000,1.1045,-8.4844,-9.3672,1.0977,-8.8516,-9.7188,1.7900,0.1068,0.1912,1.7969,0.0092,0.0164,1.7949,-0.0259,-0.0466,1.7979,0.2520,0.4529,1.7969,-0.0153,-0.0274,1.7979,0.2869,0.5156,1.7959,-0.0183,-0.0329,1.7959,0.0702,0.1261,1.7998,3.5156,6.3281,1.7998,-0.2747,-0.4944,1.7959,0.8618,1.5479,1.8047,30.5156,55.0625,1.7959,11.2891,20.2812,0.9478,3.3477,3.1719,0.9434,9.3281,8.7969,0.9492,0.7842,0.7441,0.9502,1.1689,1.1104,3.3047,3.4121,11.2734,0.9492,2.6777,2.5410,3.3125,2.8926,9.5781,3.3086,298.7500,988.5000
1.6133,0.9473,110.1875,104.3750,1.1016,96.2500,106.0000,5.2109,461.0000,2402.0000,0.9414,847.5000,798.0000,1.1035,-13.9766,-15.4219,1.1025,44.8125,49.4062,1.7881,0.0916,0.1637,1.8008,0.0427,0.0770,1.7988,0.0061,0.0110,1.8018,0.2803,0.5049,1.7998,0.0122,0.0220,1.7959,0.3267,0.5864,1.7998,0.0244,0.0439,1.8008,0.0488,0.0880,1.7969,3.5371,6.3555,1.7959,-0.6104,-1.0957,1.7988,1.6016,2.8809,1.7988,0.1221,0.2196,1.8027,10.8672,19.5938,0.9473,3.4824,3.2988,0.9468,8.5078,8.0547,0.9463,0.5430,0.5137,0.9448,1.3398,1.2656,3.3047,3.6738,12.1406,0.9482,2.6016,2.4668,3.3066,-0.5371,-1.7764,3.3008,266.2500,879.0000
1.6807,0.9531,180.8750,172.3750,1.1006,92.6250,101.9375,5.2109,448.2500,2336.0000,0.9448,867.5000,819.5000,1.1064,-6.9570,-7.6992,1.1035,-7.9961,-8.8203,1.7920,0.1038,0.1859,1.7998,0.0000,0.0000,1.7998,-0.0229,-0.0412,1.8047,0.2346,0.4233,1.8018,0.0046,0.0082,1.7959,0.3418,0.6138,1.7988,0.0275,0.0494,1.8027,0.0824,0.1486,1.7959,3.5176,6.3164,1.7959,-0.3662,-0.6577,1.8008,1.1758,2.1172,1.8027,9.1562,16.5000,1.7998,12.7578,22.9688,0.9531,3.0879,2.9434,0.9497,8.8281,8.3828,0.9492,0.4211,0.3997,0.9536,1.0713,1.0215,3.3047,4.4414,14.6797,0.9517,2.4102,2.2930,3.3086,-4.3828,-14.5000,3.3145,293.5000,973.0000
1.7656,0.9482,137.3750,130.2500,1.0947,65.3125,71.5000,5.2070,398.2500,2074.0000,0.9355,856.0000,801.0000,1.1035,-6.7148,-7.4102,1.0986,-9.3359,-10.2578,1.7910,0.1129,0.2023,1.8008,0.0305,0.0550,1.8008,-0.0061,-0.0110,1.8057,0.2756,0.4978,1.8037,-0.0122,-0.0220,1.7930,0.3494,0.6265,1.7959,0.0488,0.0877,1.7979,0.0961,0.1729,1.7969,3.5059,6.3008,1.8027,-3.0820,-5.5547,1.8037,2.0391,3.6777,1.8027,0.3052,0.5503,1.8027,13.4297,24.2031,0.9507,3.4824,3.3105,0.9541,9.6797,9.2344,0.9561,0.5557,0.5312,0.9502,1.0859,1.0322,3.3008,3.3379,11.0156,0.9458,2.3418,2.2148,3.3027,-4.6758,-15.4453,3.3008,253.5000,836.5000
1.8555,0.9526,124.1875,118.3125,1.1025,63.8438,70.3750,5.2148,393.5000,2052.0000,0.9453,858.0000,811.0000,1.0977,-6.2266,-6.8359,1.1016,-2.1367,-2.3535,1.7861,0.0885,0.1581,1.7959,0.0275,0.0493,1.7979,0.0183,0.0329,1.8008,0.2798,0.5039,1.7979,0.0168,0.0302,1.7979,0.3511,0.6313,1.7959,0.0275,0.0493,1.7959,0.0793,0.1425,1.7939,3.4727,6.2305,1.7988,-0.2747,-0.4941,1.7988,1.1943,2.1484,1.8018,-8.9688,-16.1562,1.7998,14.1562,25.4844,0.9448,3.4180,3.2285,0.9424,8.3828,7.8984,0.9424,0.5186,0.4888,0.9424,1.2148,1.1445,3.3027,4.7344,15.6328,0.9468,2.3340,2.2090,3.3047,0.2686,0.8877,3.2988,254.3750,839.0000
1.9424,0.9492,186.8750,177.3750,1.0996,67.3125,74.0000,5.2109,416.5000,2170.0000,0.9414,853.0000,803.0000,1.1016,9.1562,10.0859,1.1025,5.6758,6.2578,1.7920,0.1190,0.2133,1.7959,-0.0183,-0.0329,1.7998,-0.0244,-0.0439,1.7959,0.2925,0.5254,1.7930,-0.0015,-0.0027,1.8018,0.3357,0.6050,1.7998,-0.0244,-0.0439,1.7979,0.0900,0.1619,1.8008,3.5234,6.3438,1.7988,-0.1831,-0.3293,1.7988,1.0811,1.9443,1.8018,-7.2344,-13.0312,1.7959,14.8906,26.7344,0.9434,3.1250,2.9473,0.9448,8.3125,7.8555,0.9521,0.7812,0.7437,0.9482,1.4004,1.3281,3.3027,3.8965,12.8672,0.9434,2.1816,2.0586,3.3066,3.3809,11.1797,3.3047,290.0000,958.5000
2.0312,0.9512,65.3125,62.1250,1.1025,60.7812,67.0000,5.2148,432.2500,2254.0000,0.9419,847.0000,798.0000,1.0957,-5.7383,-6.2891,1.1006,41.0625,45.1875,1.7900,0.1282,0.2295,1.7939,-0.0671,-0.1204,1.7988,0.0259,0.0467,1.7988,0.2350,0.4226,1.7959,0.0015,0.0027,1.7969,0.3342,0.6006,1.7998,-0.0519,-0.0934,1.7959,0.0839,0.1508,1.7969,3.5215,6.3281,1.7979,-1.0986,-1.9756,1.7979,1.0840,1.9492,1.7949,0.5493,0.9858,1.8008,81.4375,146.6250,0.9395,3.1094,2.9219,0.9458,8.9688,8.4844,0.9424,0.3755,0.3538,0.9409,1.4375,1.3525,3.3027,4.2227,13.9453,0.9497,4.7930,4.5508,3.3066,2.1113,6.9805,3.3008,304.0000,1003.5000
2.2891,0.9473,34.6250,32.8125,1.1055,103.0625,113.9375,5.2070,489.5000,2548.0000,0.9414,872.0000,821.0000,1.1035,-9.1562,-10.1016,1.1045,65.3750,72.1875,1.7900,0.0824,0.1475,1.7959,0.0061,0.0110,1.7979,-0.0397,-0.0714,1.7988,0.2460,0.4424,1.7969,0.0061,0.0110,1.7979,0.3616,0.6499,1.7959,0.0031,0.0055,1.7939,0.0702,0.1260,1.7959,3.5176,6.3164,1.7979,-0.7627,-1.3711,1.7979,0.9419,1.6934,1.7998,0.2441,0.4395,1.7969,11.9609,21.5000,0.9512,3.4492,3.2812,0.9487,9.2500,8.7734,0.9507,0.5400,0.5132,0.9487,0.9707,0.9209,3.3008,3.9160,12.9297,0.9375,1.8848,1.7666,3.2949,-4.6641,-15.3672,3.3008,295.0000,973.5000
2.6641,0.9521,36.1562,34.4375,1.0986,60.5938,66.5625,5.2109,487.0000,2538.0000,0.9434,853.5000,805.0000,1.1025,5.0039,5.5156,1.1074,56.8750,63.0000,1.7900,0.0458,0.0820,1.7969,0.0580,0.1042,1.7969,-0.0229,-0.0411,1.8008,0.2715,0.4888,1.7959,0.0214,0.0384,1.7969,0.3037,0.5459,1.7969,0.0214,0.0384,1.7949,0.0763,0.1370,1.7969,3.5508,6.3789,1.7998,-0.7627,-1.3730,1.7998,1.7773,3.1992,1.8027,16.4844,29.7188,1.8008,9.6406,17.3594,0.9453,3.1621,2.9883,0.9463,8.4297,7.9766,0.9473,0.5737,0.5435,0.9482,1.3730,1.3018,3.3086,4.6250,15.3047,0.9487,2.4102,2.2871,3.3066,2.8926,9.5625,3.3086,303.0000,1002.5000
2.7559,0.9473,86.0625,81.5000,1.0977,60.9062,66.8750,5.2109,512.5000,2670.0000,0.9434,847.0000,799.0000,1.0957,-6.9570,-7.6211,1.1016,-7.9336,-8.7422,1.7891,0.0854,0.1528,1.7988,0.0305,0.0549,1.7998,0.0031,0.0055,1.7979,0.2334,0.4197,1.8008,0.0153,0.0275,1.7988,0.3250,0.5845,1.7949,0.0122,0.0219,1.7949,0.0763,0.1370,1.7949,3.4062,6.1133,1.7969,-0.7324,-1.3164,1.7949,1.0410,1.8682,1.7959,0.5493,0.9863,1.7939,12.0234,21.5625,0.9507,3.1035,2.9512,0.9468,8.7891,8.3203,0.9473,0.6650,0.6299,0.9487,1.4463,1.3721,3.3027,3.5527,11.7344,0.9478,2.0742,1.9658,3.3027,3.4180,11.2891,3.3027,296.7500,980.0000
